"","species","all","gsz","diploid.num"
"2","Acromyrmex echinatior",2840746,295944863,36
"5","Aedes albopictus",14776332,2247306217,6
"10","Anopheles aquasalis",2585695,246567867,6
"16","Anopheles darlingi",2790199,223486714,6
"27","Anopheles stephensi",2198791,346134187,6
"28","Anoplophora glabripennis",1973740,342642954,20
"31","Aphaenogaster fulva",2015075,230340171,36
"32","Aphaenogaster miamiana",2236044,230485475,36
"35","Apis cerana",2739884,317690795,32
"36","Apis dorsata",3364273,291257934,32
"37","Apis florea",3830580,414984608,32
"38","Apis mellifera",4075772,462505359,32
"40","Atta cephalotes",4437346,519005690,44
"44","Bactrocera oleae",2985909,249185056,12
"48","Blattella germanica",19029642,185537488,24
"50","Bombus terrestris",1250427,162245578,36
"58","Ceratitis capitata",6957603,579057705,12
"60","Chironomus riparius",634901,248577651,8
"62","Cimex lectularius",4515376,2409977489,33
"65","Copidosoma floridanum",4509944,141386800,20
"67","Cryptotermes secundus",6125768,167263958,40
"69","Cyphomyrmex costatus",2494067,152712140,20
"71","Dendroctonus ponderosae",398960,152439475,24
"72","Diabrotica virgifera",8222285,200467819,20
"74","Dinoponera quadriceps",3475793,164292578,92
"75","Drosophila ananassae",1497866,136728780,8
"77","Drosophila biarmipes",947966,183585048,8
"78","Drosophila bipectinata",1166588,137224182,8
"79","Drosophila busckii",3456467,182212895,8
"80","Drosophila elegans",1383030,181868570,10
"81","Drosophila erecta",1072698,188374079,8
"82","Drosophila eugracilis",1548957,152696192,6
"83","Drosophila ficusphila",1220503,166577145,8
"84","Drosophila grimshawi",4102629,198035861,12
"85","Drosophila hydei",3262524,124963774,12
"86","Drosophila kikkawai",1701607,117291146,8
"87","Drosophila melanogaster",1194304,232923092,8
"88","Drosophila miranda",2510199,182106768,10
"89","Drosophila mojavensis",4810295,206026697,12
"90","Drosophila montana",2965676,235516348,12
"91","Drosophila nasuta",2205819,165693946,8
"92","Drosophila novamexicana",3601359,279505983,12
"93","Drosophila obscura",3508626,474347418,10
"94","Drosophila persimilis",2776104,596278454,10
"95","Drosophila pseudoobscura",2596806,314961079,10
"96","Drosophila sechellia",1119354,304570832,8
"97","Drosophila serrata",2406205,153631861,8
"98","Drosophila simulans",955949,578456222,8
"99","Drosophila subobscura",2181621,994443371,12
"100","Drosophila suzukii",1288241,370264922,8
"101","Drosophila takahashii",1285797,315360362,8
"102","Drosophila virilis",3838835,374774708,12
"103","Drosophila willistoni",3790042,366195856,8
"104","Drosophila yakuba",1237873,357332231,8
"106","Ephemera danica",3687483,296954667,12
"135","Linepithema humile",1603571,1099611736,16
"136","Lucilia cuprina",4415685,212825769,12
"137","Maconellicoccus hirsutus",463407,638207720,10
"141","Megachile rotundata",898996,374815656,32
"145","Melipona quadrifasciata",2588770,191208351,18
"147","Monomorium pharaonis",3016430,549932840,22
"148","Musca domestica",4792923,382235502,12
"152","Nasonia vitripennis",4186728,208026220,12
"153","Neodiprion lecontei",1847079,284990201,14
"154","Nicrophorus vespilloides",1588584,282776121,14
"155","Oncopeltus fasciatus",13791299,706824083,16
"168","Phormia regina",5316006,267973152,12
"169","Plodia interpunctella",2581349,368211209,60
"172","Polistes canadensis",6550663,324120201,32
"174","Pseudococcus longispinus",797732,485009472,8
"175","Pseudomyrmex gracilis",3749643,2.82e+08,70
"176","Rhagoletis zephyria",9647077,1.11e+09,12
"181","Sitophilus oryzae",2883429,6.51e+08,12
"182","Solenopsis invicta",3298067,3.96e+08,32
"185","Stomoxys calcitrans",4803933,9.71e+08,10
"188","Temnothorax curvispinosus",2459541,3.03e+08,46
"193","Tribolium castaneum",690580,1.65e+08,20
"194","Trichogramma pretiosum",2962173,1.87e+08,10
"199","Zaprionus indianus",2200284,1.23e+08,12
"201","Zootermopsis nevadensis",2167721,4.85e+08,52
